Tweet_count,Username,Text,Created_At,Tweet_ID
1,Bloomberg Crypto,"Donald Trump said his first days in office will focus on tariffs, immigration and deregulation. Here's what our economists expect to happen. https://t.co/cbpKOhjFbT",Sat Nov 09 23:43:24 +0000 2024,1855395796532814161
2,Bloomberg Crypto,FTX filed a lawsuit against Anthony Scaramucci and his hedge fund SkyBridge Capital as part of a broader effort to claw back money for creditors of the bankrupt company. https://t.co/VsxbGGBVWO,Sat Nov 09 19:12:51 +0000 2024,1855327711234752948
3,Bloomberg Crypto,FTX filed a lawsuit against Anthony Scaramucci and his hedge fund SkyBridge Capital as part of a broader effort to claw back money for creditors of the bankrupt company https://t.co/nQYRoDZff5,Sat Nov 09 17:08:41 +0000 2024,1855296464500519373
4,Bloomberg Crypto,Silicon Valley's Trump supporters have big plans. https://t.co/Jrz6uGFttz,Sat Nov 09 15:32:16 +0000 2024,1855272198358884704
5,Bloomberg Crypto,"Trump's US election victory was music to the ears of some attendees at Singapore's FinTech Festival. But others feared the economic cost of his win. 

Read more in this week's free Singapore Edition newsletter. https://t.co/RXn5eF8xZK",Sat Nov 09 15:28:04 +0000 2024,1855271143277523416
6,Bloomberg Crypto,The crypto industry made a $135 million bet on the election. It paid off spectacularly https://t.co/ZtAOXVPpET,Sat Nov 09 14:53:02 +0000 2024,1855262328322695281
7,Bloomberg Crypto,The crypto industry made a $135 million bet on the election. It paid off spectacularly https://t.co/YFfCHuXf8O,Sat Nov 09 12:53:08 +0000 2024,1855232154180976914
8,Bloomberg Crypto,"Trump's US election victory was music to the ears of some attendees at Singapore's FinTech Festival. But others feared the economic cost of his win. 

Read more in this week's free Singapore Edition newsletter. https://t.co/uSFAMw6hKP",Sat Nov 09 12:28:06 +0000 2024,1855225853447148017
9,Bloomberg Crypto,The crypto industry made a $135 million bet on the election. It paid off spectacularly https://t.co/hGGCKsVk7S,Sat Nov 09 10:52:02 +0000 2024,1855201676501627361
10,Bloomberg Crypto,"Trump's US election victory was music to the ears of some attendees at Singapore's FinTech Festival. But others feared the economic cost of his win. 

Read more in this week's free Singapore Edition newsletter. https://t.co/X8HtG7KXAC",Sat Nov 09 09:27:06 +0000 2024,1855180304522117323
11,Bloomberg Crypto,The crypto industry made a $135 million bet on the election. It paid off spectacularly https://t.co/frTafBJUAh,Sat Nov 09 08:52:01 +0000 2024,1855171474585231695
12,Bloomberg Crypto,The crypto industry made a $135 million bet on the election. It paid off spectacularly https://t.co/TZ8qKvNYed,Sat Nov 09 06:56:03 +0000 2024,1855142291528172011
13,Bloomberg Crypto,"Trump's US election victory was music to the ears of some attendees at Singapore's FinTech Festival. But others feared the economic cost of his win. 

Read more in this week's free Singapore Edition newsletter. https://t.co/9mVrghQ0St",Sat Nov 09 06:27:04 +0000 2024,1855134998279356786
14,Bloomberg Crypto,"Trump's US election victory was music to the ears of some attendees at Singapore's FinTech Festival. But others feared the economic cost of his win. 

Read more in this week's free Singapore Edition newsletter. https://t.co/jtaotdoQvR",Sat Nov 09 03:27:04 +0000 2024,1855089698886029722
15,Bloomberg Crypto,Stocks rose at the end of their best week in 2024 amid solid consumer sentiment data and bets that Donald Trump’s promises of tax cuts will further benefit corporations: Here’s your Evening Briefing https://t.co/NJxAOMBV7Y,Sat Nov 09 00:14:07 +0000 2024,1855041140707205207
16,Bloomberg Crypto,"With Donald Trump and most of the crypto industry's favored congressional candidates victorious, the stage appears set for a rush of digital-asset mergers https://t.co/4frb2O2N3U",Fri Nov 08 23:56:57 +0000 2024,1855036820758655368
17,Bloomberg Crypto,"Trump said his first days in office will focus on tariffs, immigration and deregulation. Here's what our economists expect to happen https://t.co/ptg4MS8Q03",Fri Nov 08 23:27:38 +0000 2024,1855029441304416742
18,Bloomberg Crypto,The founder of a cryptocurrency mixing service known as Bitcoin Fog was ordered to serve 12 1/2 years in prison for laundering tens of millions of dollars from darknet markets that sold illegal drugs https://t.co/lVfiqBCAPY,Fri Nov 08 23:06:47 +0000 2024,1855024197245788570
19,Bloomberg Crypto,"Lawyers Richard Farley and Norm Champ are among contenders to replace Gary Gensler as chair of the US Securities and Exchange Commission, according to people with knowledge of the matter https://t.co/HdR8EAdzpj",Fri Nov 08 22:25:12 +0000 2024,1855013730339144149
20,Bloomberg Crypto,"All year, a slew of Wall Street pros have questioned the durability of an indiscriminate risk rally that has fattened stock prices by trillions of dollars, sent Bitcoin soaring, fueled a credit bonanza, and more. https://t.co/CQlnvLFl3D",Fri Nov 08 21:57:35 +0000 2024,1855006779895058779
21,Bloomberg Crypto,"What does Donald Trump’s win mean for his personal fortune? On today’s Big Take podcast, @LamoneyTom and @davidgura break down why the outlook for his businesses has never been better. https://t.co/knbEwar0fN",Fri Nov 08 20:25:18 +0000 2024,1854983555400561118
22,Bloomberg Crypto,JPMorgan Asset Management is gearing up for the next round of the active ETF industry’s growth https://t.co/24nhJxIfwl,Fri Nov 08 19:44:11 +0000 2024,1854973211009499345
23,Bloomberg Crypto,Spain’s 'Hurricane Katrina moment' is a cautionary tale for other countries as insurance losses to reach in excess of €3.5 billion ($3.8 billion): Here's your Evening Briefing Europe https://t.co/qF5UxoejSU,Fri Nov 08 18:28:49 +0000 2024,1854954240650670434
24,Bloomberg Crypto,"The crypto industry spent more than $100 million this election cycle to back over 50 candidates. So far, they've all won https://t.co/LPATvLtjUp",Fri Nov 08 17:48:25 +0000 2024,1854944074886701407
25,Bloomberg Crypto,BlackRock's spot-Bitcoin ETF has surpassed the size of its gold fund amid record demand for ETFs that invest in the original cryptocurrency https://t.co/tUoYOFcCGq,Fri Nov 08 17:22:19 +0000 2024,1854937506048770399
26,Bloomberg Crypto,Traders Bet on Financial Rumspringa https://t.co/pAdBRahbeJ,Fri Nov 08 16:54:58 +0000 2024,1854930624227774490
27,Bloomberg Crypto,Stablecoin issuer Tether said it completed the funding of its first crude oil transaction in the Middle East as part of a plan to become a lender in commodities trading https://t.co/hR4DB3WMtW,Fri Nov 08 15:43:36 +0000 2024,1854912666034110686
28,Bloomberg Crypto,"Canada's IPO market has been dead for 20 months, but at last there are signs of life. Read Bay Street Edition, our weekly newsletter on Canadian finance. https://t.co/spDaVNuRCD",Fri Nov 08 14:46:58 +0000 2024,1854898410890965046
29,Bloomberg Crypto,"Crypto’s biggest political action committees spent $135 million to support their favored candidates. In 48 races called so far, they're undefeated https://t.co/xTnNQZlpT0",Fri Nov 08 13:34:33 +0000 2024,1854880187701211640
30,Bloomberg Crypto,"Bloomberg Crypto is on Telegram ⤵️

Join our channel for the latest news and analysis from the crypto universe: 
https://t.co/1p6XhDuVkd https://t.co/q33vVaAtgF",Fri Nov 08 13:13:03 +0000 2024,1854874777304863153
31,Bloomberg Crypto,Rethinking Those Trump Trades Has Already Begun https://t.co/Qc8DfVcc1j,Fri Nov 08 11:33:24 +0000 2024,1854849697648689474
